ano,sigla_uf,id_municipio,nome,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,PB,2507309,Jacaraú,estadual,medio,todos (1-4),79.7,0.80274802,265.13,274.0,4.5150471,3.6,3.0
2021,PB,2506301,Guarabira,estadual,medio,todos (1-4),96.2,0.964176,249.15,257.83,4.048543,3.9,
2021,PB,2514008,São João do Cariri,estadual,medio,todos (1-4),100.0,1.0,264.32,268.16,4.416245,4.4,
2017,PB,2504157,Casserengue,publica,medio,todos (1-4),60.5,0.61736101,228.44,225.58,3.275028,2.0,
2017,PB,2507200,Itatuba,publica,medio,todos (1-4),78.2,0.79001403,241.74,249.27,3.8164749,3.0,
2017,PB,2504033,Capim,publica,medio,todos (1-4),86.1,0.862611,232.75,230.02,3.4020381,2.9,
2017,PB,2507705,Juazeirinho,estadual,medio,todos (1-4),82.8,0.83326298,255.78,253.86,4.0823698,3.4,
2017,PB,2500601,Alhandra,estadual,medio,todos (1-4),74.5,0.75284398,220.69,214.61,3.0021081,2.3,
2017,PB,2511509,Pilar,publica,medio,todos (1-4),73.2,0.746297,239.94,249.08,3.7882011,2.8,
2017,PB,2512408,Puxinanã,publica,medio,todos (1-4),85.4,0.85980302,239.46,253.86,3.8530159,3.3,
2017,PB,2514503,São José de Piranhas,publica,medio,todos (1-4),79.3,0.82223099,259.83,248.36,4.057066,3.3,
2017,PB,2509602,Monte Horebe,estadual,medio,todos (1-4),91.4,0.91340101,269.42,267.64,4.4802299,4.1,
2017,PB,2516508,Taperoá,estadual,medio,todos (1-4),62.3,0.61761498,261.77,271.29,4.427577,2.7,
2017,PB,2516508,Taperoá,publica,medio,todos (1-4),62.3,0.61761498,261.77,271.29,4.427577,2.7,
2017,PB,2514909,São Mamede,estadual,medio,todos (1-4),97.8,0.97798598,292.42,284.5,5.0556588,4.9,
2017,PB,2505204,Cuitegi,publica,medio,todos (1-4),73.3,0.72721601,235.0,237.94,3.5521929,2.6,
2017,PB,2512507,Queimadas,publica,medio,todos (1-4),70.4,0.70427102,241.74,239.63,3.672164,2.6,
2017,PB,2506202,Frei Martinho,estadual,medio,todos (1-4),96.5,0.96578199,265.42,259.41,4.3008471,4.2,
2019,PB,2501708,Barra de São Miguel,publica,medio,todos (1-4),84.2,0.84188998,254.91,258.35,4.137516,3.5,3.0
2019,PB,2502706,Borborema,estadual,medio,todos (1-4),79.2,0.79960799,259.97,267.61,4.3470659,3.5,2.8
2019,PB,2509107,Mari,publica,medio,todos (1-4),76.8,0.78180897,269.98,267.67,4.4886942,3.5,3.3
2019,PB,2515401,São Vicente do Seridó,publica,medio,todos (1-4),82.7,0.83411598,262.07,253.8,4.1696739,3.5,3.4
2019,PB,2511806,Pirpirituba,estadual,medio,todos (1-4),84.3,0.85796201,244.91,247.07,3.827914,3.3,3.8
2019,PB,2512754,Riachão do Bacamarte,publica,medio,todos (1-4),80.1,0.80239201,244.38,269.35,4.1541529,3.3,
2019,PB,2509339,Matinhas,estadual,medio,todos (1-4),83.1,0.82335001,244.55,251.16,3.8842349,3.2,3.3
